fps,dim,staleness,rmse_kf,rmse_held,n_samples
1,vx,12,0.18331498212157443,0.19188641899437311,154
1,y,12,0.028611286717038956,0.25303870591499666,154
1,vy,12,0.33494480032234886,0.4056749179124777,154
1,angle,12,0.0686266721386679,0.5376365480971259,154
1,angular_velocity,12,1.0043432904779952,1.0777121379367236,154
1,x,13,0.02659768185795448,0.07159632027047381,149
1,vx,13,0.0763135533243931,0.14546336008645858,149
1,y,13,0.02909888705788337,0.2614681971804818,149
1,vy,13,0.12306200109806383,0.42033197384955,149
1,angle,13,0.06695506634194921,0.5413501556061541,149
1,angular_velocity,13,0.1949838410216951,0.4736115562346642,149
1,x,14,0.026661822679601235,0.07444515871096515,148
1,vx,14,0.11291304911461664,0.16812043119416464,148
1,y,14,0.03057233768940648,0.2806000296877091,148
1,vy,14,0.4202417536389779,0.45898396954261994,148
1,angle,14,0.08003556864053407,0.5755095723109489,148
1,angular_velocity,14,0.8156650947675717,0.9225905325712597,148
1,x,15,0.026396575573605568,0.07774914184588308,142
1,vx,15,0.07918200857249669,0.1632065960912594,142
1,y,15,0.03100604629625011,0.28633962566869026,142
1,vy,15,0.2160968249212119,0.4537079998770334,142
1,angle,15,0.06723533062942799,0.5647811883900759,142
1,angular_velocity,15,0.36038629463842825,0.6037720155939708,142
1,x,16,0.02602753799688616,0.08077102855758903,140
1,vx,16,0.10958624179720924,0.18916835563322906,140
1,y,16,0.03207096238497742,0.3013090859597918,140
1,vy,16,0.15928581836301836,0.45272030141702535,140
1,angle,16,0.07930507437297905,0.5784439079125805,140
1,angular_velocity,16,0.7157437267039651,0.8828697428282966,140
1,x,17,0.0258424955405025,0.083790166918655,139
1,vx,17,0.08559534908918881,0.1789125997749434,139
1,y,17,0.033302672734493735,0.3173904231933513,139
1,vy,17,0.2342522920608797,0.4881861055092236,139
1,angle,17,0.08106165869379887,0.6035021359797378,139
1,angular_velocity,17,0.2770224633243105,0.6187847126319558,139
1,x,18,0.025661614726718643,0.0868663182377579,138
1,vx,18,0.08497686146393917,0.18625318882634187,138
1,y,18,0.03285648989096063,0.3349760536073493,138
1,vy,18,0.23260599475124727,0.5053725250007368,138
1,angle,18,0.08750740643425191,0.623664874732868,138
1,angular_velocity,18,0.2935168921672648,0.6568500848264877,138
1,x,19,0.026049196825669953,0.09009987955035104,137
1,vx,19,0.13352008763900153,0.22013771300430754,137
1,y,19,0.03332213708282457,0.3485925107554387,137
1,vy,19,0.24286499441100448,0.5202607213489392,137
1,angle,19,0.09586120540389494,0.6324864665500873,137
1,angular_velocity,19,0.3079152015124632,0.7084209973018728,137
1,x,20,0.025278754925717163,0.0934580570374888,135
